transaction_id,date,vendor,category,department,amount,approver
TXN00113,2026-05-14 12:44,Nova Marketing Agency,Marketing,IT,1133.17,S. Byrne
TXN00098,2026-05-15 11:19,Bright Catering Co,Catering,Facilities,410.23,S. Byrne
TXN00088,2026-05-15 18:15,Apex IT Consulting,Professional Services,Operations,1069.97,S. Byrne
TXN00041,2026-05-20 13:15,Bright Catering Co,Catering,Marketing,385.96,R. Walsh
TXN00096,2026-05-20 14:31,Summit Legal Services,Professional Services,HR,576.13,A. Murphy
TXN00067,2026-05-20 14:31,Nova Marketing Agency,Marketing,IT,3076.75,A. Murphy
TXN00070,2026-05-20 16:27,Nova Marketing Agency,Marketing,HR,4404.77,R. Walsh
TXN00029,2026-05-21 17:36,Apex IT Consulting,Professional Services,IT,4544.25,A. Murphy
TXN00132,2026-05-25 15:45,Falcon Security Systems,Facilities,IT,274.39,R. Walsh
TXN00100,2026-05-25 16:48,Bright Catering Co,Catering,Facilities,529.27,A. Murphy
TXN00042,2026-05-26 09:00,Greenfield Logistics,Logistics,IT,4128.63,J. Connolly
TXN00086,2026-05-26 09:49,Greenfield Logistics,Logistics,Finance,3753.59,S. Byrne
TXN00062,2026-05-26 10:39,Summit Legal Services,Professional Services,HR,2819.63,S. Byrne
TXN00065,2026-05-26 11:43,Summit Legal Services,Professional Services,Marketing,4048.9,A. Murphy
TXN00025,2026-05-27 11:45,Apex IT Consulting,Professional Services,Marketing,7466.85,R. Walsh
TXN00154,2026-05-27 11:55,Greenfield Logistics,Logistics,Facilities,9861.38,R. Walsh
TXN00103,2026-05-27 15:06,Summit Legal Services,Professional Services,Operations,2691.02,S. Byrne
TXN00137,2026-05-28 15:55,Metro Office Cleaning,Facilities,HR,1936.38,J. Connolly
TXN00116,2026-05-29 10:30,Bright Catering Co,Catering,HR,906.75,R. Walsh
TXN00163,2026-05-30 10:56,Riverbank Equipment Hire,Equipment,IT,2792.23,R. Walsh
